Wed 08 Apr 2026, 11:27AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
2.376, -1, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=1,  score=1, BLUE: x=1093,  y=265,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
3.764, 0, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=2,  score=2, BLUE: x=1093,  y=265,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
3.948, 1, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=3,  score=3, BLUE: x=1093,  y=265,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
4.111, 2, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=4,  score=4, BLUE: x=1093,  y=265,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
4.278, 3, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=5,  score=5, BLUE: x=1093,  y=265,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
4.462, 4, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=6,  score=6, BLUE: x=1093,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
4.644, 5, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=7,  score=7, BLUE: x=1093,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
4.793, 6, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=8,  score=8, BLUE: x=1093,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
4.977, 7, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=536,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=9,  score=9, BLUE: x=1093,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
6.96, 8, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=10,  score=10, BLUE: x=1093,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
7.161, 9, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=11,  score=11, BLUE: x=1093,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
