Wed 08 Apr 2026, 11:39AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
1.099, 0, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=1,  score=1, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
1.249, 1, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=2,  score=2, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
1.414, 2, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=3,  score=3, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
1.562, 3, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=4,  score=4, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
1.71, 4, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=5,  score=5, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
1.859, 5, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=6,  score=6, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
2.008, 6, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=7,  score=7, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
2.258, 7, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=8,  score=8, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
2.426, 8, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=9,  score=9, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
2.575, 9, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=10,  score=10, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
2.842, 10, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=11,  score=11, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
2.993, 11, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=12,  score=12, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
3.14, 12, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=13,  score=13, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
