Tue 10 Mar 2026, 05:05PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.374, 0, Clicked: None, x=912, y=621, Clicked: None, x=912, y=621, Clicked: None, x=912, y=621,  RED: x=1394,  y=496,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=0,  score=0, Unknown Color: x=425,  y=532,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1227,  y=259,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=0,  score=0,
13.598, 0, Clicked: None, x=1179, y=333, Clicked: None, x=1179, y=333, Clicked: (255, 200, 0), x=1179,  y=333,  RED: x=1412,  y=469,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=0,  score=0, Unknown Color: x=470,  y=579,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1181,  y=343,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=1,  score=1,
14.246, 1, Clicked: RED, x=1399,  y=434,  Unknown Color: x=1416,  y=464,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=1,  score=0, Unknown Color: x=479,  y=588,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1171,  y=360,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=1,  score=1,
14.41, 1, Clicked: RED, x=1399,  y=434,  Unknown Color: x=1417,  y=463,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=2,  score=0, Unknown Color: x=481,  y=590,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1169,  y=365,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=1,  score=1,
14.559, 1, Clicked: RED, x=1399,  y=434,  Unknown Color: x=1418,  y=462,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=483,  y=592,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1167,  y=369,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=1,  score=1,
14.905, 1, Clicked: None, x=1151, y=412, Clicked: None, x=1151, y=412, Clicked: (255, 200, 0), x=1151,  y=412,  RED: x=1420,  y=459,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=488,  y=597,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1162,  y=378,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=2,  score=2,
15.055, 2, Clicked: None, x=1151, y=412, Clicked: None, x=1151, y=412, Clicked: (255, 200, 0), x=1151,  y=412,  RED: x=1420,  y=457,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=490,  y=599,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1160,  y=382,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
15.765, 3, Clicked: None, x=519, y=616, Clicked: (43, 0, 255), x=519,  y=616,  RED: x=1424,  y=452,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=500,  y=610,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=1,  score=0, Unknown Color: x=1149,  y=400,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
15.913, 3, Clicked: None, x=519, y=616, Clicked: (43, 0, 255), x=519,  y=616,  RED: x=1425,  y=450,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=502,  y=612,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=2,  score=0, Unknown Color: x=1147,  y=404,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
16.062, 3, Clicked: None, x=519, y=616, Clicked: (43, 0, 255), x=519,  y=616,  RED: x=1426,  y=449,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=504,  y=614,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=3,  score=0, Unknown Color: x=1145,  y=408,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
16.194, 3, Clicked: None, x=519, y=616, Clicked: (43, 0, 255), x=519,  y=616,  RED: x=1427,  y=448,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=506,  y=616,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=4,  score=0, Unknown Color: x=1143,  y=412,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
16.524, 3, Clicked: None, x=521, y=617, Clicked: (43, 0, 255), x=521,  y=617,  RED: x=1429,  y=445,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=511,  y=620,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=5,  score=0, Unknown Color: x=1138,  y=420,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
16.784, 3, Clicked: None, x=525, y=619, Clicked: (43, 0, 255), x=525,  y=619,  RED: x=1430,  y=443,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=515,  y=624,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=6,  score=0, Unknown Color: x=1135,  y=427,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
17.144, 3, Clicked: None, x=526, y=620, Clicked: (43, 0, 255), x=526,  y=620,  RED: x=1432,  y=440,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=520,  y=629,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=7,  score=0, Unknown Color: x=1129,  y=437,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
17.294, 3, Clicked: None, x=529, y=624, Clicked: (43, 0, 255), x=529,  y=624,  RED: x=1433,  y=439,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=522,  y=631,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=8,  score=0, Unknown Color: x=1127,  y=441,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
17.46, 3, Clicked: None, x=530, y=624, Clicked: (43, 0, 255), x=530,  y=624,  RED: x=1434,  y=437,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=524,  y=634,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=9,  score=0, Unknown Color: x=1125,  y=445,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
17.758, 3, Clicked: None, x=530, y=624, Clicked: (43, 0, 255), x=530,  y=624,  RED: x=1435,  y=435,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=528,  y=638,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=10,  score=0, Unknown Color: x=1121,  y=453,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
17.904, 3, Clicked: None, x=531, y=626, Clicked: (43, 0, 255), x=531,  y=626,  RED: x=1436,  y=434,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=530,  y=640,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=11,  score=0, Unknown Color: x=1118,  y=457,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.051, 3, Clicked: None, x=533, y=627, Clicked: (43, 0, 255), x=533,  y=627,  RED: x=1437,  y=433,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=532,  y=642,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=12,  score=0, Unknown Color: x=1116,  y=461,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
