Wed 18 Mar 2026, 03:41PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
1.619, 0, Clicked: None, x=711, y=466, Clicked: (0, 51, 255), x=711,  y=466,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=1,  score=1,
2.056, 1, Clicked: None, x=711, y=466, Clicked: (0, 51, 255), x=711,  y=466,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=2,  score=2,
2.207, 2, Clicked: None, x=711, y=466, Clicked: (0, 51, 255), x=711,  y=466,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=3,  score=3,
5.394, 3, Clicked: None, x=757, y=409, Clicked: None, x=757, y=409,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=3,  score=3,
5.689, 3, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=4,  score=4,
5.841, 4, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=5,  score=5,
5.975, 5, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=6,  score=6,
6.126, 6, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=7,  score=7,
6.273, 7, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=8,  score=8,
6.389, 8, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=9,  score=9,
6.523, 9, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=10,  score=10,
6.607, 10, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=11,  score=11,
6.74, 11, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=12,  score=12,
