0.878, 0, Clicked: RED, x=429,  y=1244, Clicked: None, x=429, y=1244,  Unknown Color: x=429,  y=1244,  dx=-0.44430457524212075,  dy=-0.8958757974289285,  clicks=1,  score=1, BLUE: x=500,  y=721,  dx=0.7715195117463691,  dy=0.6362056609262795,  clicks=0,  score=0,
1.377, 1, Clicked: RED, x=417,  y=1205, Clicked: None, x=417, y=1205,  Unknown Color: x=416,  y=1217,  dx=-0.44430457524212075,  dy=-0.8958757974289285,  clicks=2,  score=2, BLUE: x=524,  y=740,  dx=0.7715195117463691,  dy=0.6362056609262795,  clicks=0,  score=0,
1.543, 2, Clicked: RED, x=417,  y=1205, Clicked: None, x=417, y=1205,  Unknown Color: x=411,  y=1208,  dx=-0.44430457524212075,  dy=-0.8958757974289285,  clicks=3,  score=3, BLUE: x=531,  y=746,  dx=0.7715195117463691,  dy=0.6362056609262795,  clicks=0,  score=0,
1.659, 3, Clicked: RED, x=417,  y=1205, Clicked: None, x=417, y=1205,  Unknown Color: x=408,  y=1202,  dx=-0.44430457524212075,  dy=-0.8958757974289285,  clicks=4,  score=4, BLUE: x=537,  y=750,  dx=0.7715195117463691,  dy=0.6362056609262795,  clicks=0,  score=0,
2.073, 4, Clicked: None, x=355, y=1123, Clicked: None, x=355, y=1123,  RED: x=397,  y=1179,  dx=-0.44430457524212075,  dy=-0.8958757974289285,  clicks=4,  score=4, BLUE: x=556,  y=766,  dx=0.7715195117463691,  dy=0.6362056609262795,  clicks=0,  score=0,
2.339, 4, Clicked: RED, x=355,  y=1123, Clicked: None, x=355, y=1123,  Unknown Color: x=390,  y=1165,  dx=-0.44430457524212075,  dy=-0.8958757974289285,  clicks=5,  score=5, BLUE: x=568,  y=777,  dx=0.7715195117463691,  dy=0.6362056609262795,  clicks=0,  score=0,
2.489, 5, Clicked: RED, x=355,  y=1123, Clicked: None, x=355, y=1123,  Unknown Color: x=386,  y=1157,  dx=-0.44430457524212075,  dy=-0.8958757974289285,  clicks=6,  score=6, BLUE: x=575,  y=782,  dx=0.7715195117463691,  dy=0.6362056609262795,  clicks=0,  score=0,
################# INIT balls ######################
0.384, 5, Clicked: None, x=524, y=724, Clicked: None, x=524, y=724,  RED: x=183,  y=834,  dx=0.24181707320285806,  dy=0.970321855420975,  clicks=0,  score=0, BLUE: x=633,  y=204,  dx=-0.3329027541581392,  dy=-0.9429611637145644,  clicks=0,  score=0,
1.262, 5, Clicked: RED, x=191,  y=885, Clicked: None, x=191, y=885,  Unknown Color: x=196,  y=885,  dx=0.24181707320285806,  dy=0.970321855420975,  clicks=1,  score=1, BLUE: x=616,  y=164,  dx=-0.3329027541581392,  dy=0.9429611637145644,  clicks=0,  score=0,
1.812, 6, Clicked: None, x=428, y=549, Clicked: None, x=428, y=549,  RED: x=204,  y=917,  dx=0.24181707320285806,  dy=0.970321855420975,  clicks=1,  score=1, BLUE: x=605,  y=195,  dx=-0.3329027541581392,  dy=0.9429611637145644,  clicks=0,  score=0,
3.011, 6, Clicked: RED, x=234,  y=974, Clicked: None, x=234, y=974,  Unknown Color: x=221,  y=987,  dx=0.24181707320285806,  dy=0.970321855420975,  clicks=2,  score=2, BLUE: x=581,  y=263,  dx=-0.3329027541581392,  dy=0.9429611637145644,  clicks=0,  score=0,
3.831, 7, Clicked: RED, x=237,  y=1027, Clicked: None, x=237, y=1027,  Unknown Color: x=233,  y=1035,  dx=0.24181707320285806,  dy=0.970321855420975,  clicks=3,  score=3, BLUE: x=564,  y=309,  dx=-0.3329027541581392,  dy=0.9429611637145644,  clicks=0,  score=0,
4.464, 8, Clicked: RED, x=249,  y=1103, Clicked: None, x=249, y=1103,  Unknown Color: x=242,  y=1071,  dx=0.24181707320285806,  dy=0.970321855420975,  clicks=4,  score=4, BLUE: x=552,  y=345,  dx=-0.3329027541581392,  dy=0.9429611637145644,  clicks=0,  score=0,
################# INIT balls ######################
0.602, 9, Clicked: RED, x=207,  y=485, Clicked: None, x=207, y=485,  Unknown Color: x=186,  y=499,  dx=-0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, BLUE: x=656,  y=463,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=0,  score=0,
1.332, 10, Clicked: None, x=693, y=519, Clicked: BLUE, x=693,  y=519,  RED: x=172,  y=480,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=672,  y=504,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=1,  score=0,
1.613, 10, Clicked: None, x=690, y=520, Clicked: BLUE, x=690,  y=520,  RED: x=187,  y=472,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=678,  y=520,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=2,  score=0,
1.909, 10, Clicked: None, x=688, y=542, Clicked: BLUE, x=688,  y=542,  RED: x=203,  y=464,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=685,  y=536,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=3,  score=0,
2.056, 10, Clicked: None, x=688, y=541, Clicked: BLUE, x=688,  y=541,  RED: x=212,  y=460,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=688,  y=545,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=4,  score=0,
2.489, 10, Clicked: None, x=705, y=566, Clicked: BLUE, x=705,  y=566,  RED: x=235,  y=449,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=698,  y=569,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=5,  score=0,
2.922, 10, Clicked: None, x=710, y=634, Clicked: BLUE, x=710,  y=634,  RED: x=258,  y=438,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=708,  y=593,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=6,  score=0,
