Thu 19 Feb 2026, 09:48PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.582, 0, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388,  RED: x=666,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1134,  y=244,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=626,  y=382,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=0,  score=0,
10.714, 0, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388,  RED: x=664,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1131,  y=244,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=624,  y=385,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=0,  score=0,
11.6, 0, Clicked: None, x=677, y=423, Clicked: None, x=677, y=423, Clicked: None, x=677, y=423,  RED: x=656,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1114,  y=245,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=613,  y=409,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=0,  score=0,
11.931, 0, Clicked: None, x=651, y=429, Clicked: None, x=651, y=429, Clicked: (255, 200, 0), x=651,  y=429,  RED: x=652,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1108,  y=246,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=609,  y=418,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=1,  score=1,
12.065, 1, Clicked: None, x=650, y=430, Clicked: None, x=650, y=430, Clicked: (255, 200, 0), x=650,  y=430,  RED: x=651,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1104,  y=246,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=607,  y=422,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=2,  score=2,
12.2, 2, Clicked: None, x=650, y=430, Clicked: None, x=650, y=430, Clicked: (255, 200, 0), x=650,  y=430,  RED: x=650,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1102,  y=246,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=605,  y=425,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=3,  score=3,
12.3, 3, Clicked: None, x=650, y=430, Clicked: None, x=650, y=430, Clicked: (255, 200, 0), x=650,  y=430,  RED: x=649,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1100,  y=246,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=604,  y=428,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
12.863, 4, Clicked: RED, x=636,  y=229,  Unknown Color: x=643,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=1,  score=0, Unknown Color: x=1088,  y=247,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=596,  y=444,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
12.959, 4, Clicked: RED, x=636,  y=229,  Unknown Color: x=642,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=2,  score=0, Unknown Color: x=1086,  y=247,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=595,  y=446,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
13.106, 4, Clicked: RED, x=636,  y=229,  Unknown Color: x=640,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=3,  score=0, Unknown Color: x=1084,  y=247,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=593,  y=450,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
13.237, 4, Clicked: RED, x=636,  y=229,  Unknown Color: x=639,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=4,  score=0, Unknown Color: x=1081,  y=247,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=591,  y=454,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
13.353, 4, Clicked: RED, x=636,  y=229,  Unknown Color: x=638,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=5,  score=0, Unknown Color: x=1079,  y=248,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=590,  y=457,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
13.467, 4, Clicked: RED, x=636,  y=229,  Unknown Color: x=637,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=6,  score=0, Unknown Color: x=1076,  y=248,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=588,  y=460,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
