Tue 10 Mar 2026, 05:00PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.468, 0, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383,  RED: x=290,  y=576,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=742,  y=327,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=0,  score=0, Unknown Color: x=1162,  y=259,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
11.083, 0, Clicked: None, x=778, y=353, Clicked: (43, 0, 255), x=778,  y=353, Clicked: None, x=778, y=353,  RED: x=294,  y=572,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=753,  y=323,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=1,  score=1, Unknown Color: x=1155,  y=275,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
11.233, 1, Clicked: None, x=778, y=353, Clicked: (43, 0, 255), x=778,  y=353, Clicked: None, x=778, y=353,  RED: x=295,  y=570,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=756,  y=322,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=2,  score=2, Unknown Color: x=1153,  y=279,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
11.364, 2, Clicked: None, x=778, y=353, Clicked: (43, 0, 255), x=778,  y=353, Clicked: None, x=778, y=353,  RED: x=295,  y=569,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=759,  y=321,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=3,  score=3, Unknown Color: x=1151,  y=283,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
11.495, 3, Clicked: None, x=778, y=353, Clicked: (43, 0, 255), x=778,  y=353, Clicked: None, x=778, y=353,  RED: x=296,  y=568,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=761,  y=320,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=4,  score=4, Unknown Color: x=1149,  y=287,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
12.053, 4, Clicked: None, x=1151, y=336, Clicked: None, x=1151, y=336, Clicked: (255, 200, 0), x=1151,  y=336,  RED: x=300,  y=564,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=772,  y=317,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=4,  score=4, Unknown Color: x=1142,  y=302,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=1,  score=0,
12.2, 4, Clicked: None, x=1151, y=336, Clicked: None, x=1151, y=336, Clicked: (255, 200, 0), x=1151,  y=336,  RED: x=301,  y=563,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=775,  y=316,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=4,  score=4, Unknown Color: x=1140,  y=306,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=2,  score=0,
12.346, 4, Clicked: None, x=1151, y=336, Clicked: None, x=1151, y=336, Clicked: (255, 200, 0), x=1151,  y=336,  RED: x=301,  y=562,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=777,  y=315,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=4,  score=4, Unknown Color: x=1138,  y=310,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=3,  score=0,
12.559, 4, Clicked: None, x=1151, y=336, Clicked: None, x=1151, y=336, Clicked: (255, 200, 0), x=1151,  y=336,  RED: x=303,  y=560,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=781,  y=313,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=4,  score=4, Unknown Color: x=1136,  y=315,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=4,  score=0,
12.688, 4, Clicked: None, x=1151, y=336, Clicked: None, x=1151, y=336, Clicked: (255, 200, 0), x=1151,  y=336,  RED: x=304,  y=559,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=784,  y=313,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=4,  score=4, Unknown Color: x=1134,  y=319,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=5,  score=0,
12.853, 4, Clicked: None, x=1151, y=336, Clicked: None, x=1151, y=336, Clicked: (255, 200, 0), x=1151,  y=336,  RED: x=305,  y=558,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=787,  y=312,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=4,  score=4, Unknown Color: x=1132,  y=323,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=6,  score=0,
